x,y
1645,251
354,763
1071,1000
750,1840
278,959
919,1467
1258,1814
1833,880
416,398
1607,1297
1582,1537
1736,373
416,290
839,590
94,599
181,219
262,467
1761,1108
389,1719
796,838
1195,1517
1581,1220
1979,555
1807,959
1020,72
1,198
1571,1072
1738,1495
693,556
385,129
1814,1699
401,1999
510,928
863,621
1600,1266
1565,1349
1572,908
1471,428
1804,450
545,464
1223,841
1323,1755
332,1120
1845,1433
577,856
806,1347
789,563
868,1722
1869,782
1741,1492
27,898
1020,637
1821,252
1997,1898
1851,848
861,248
571,974
1206,465
568,772
1001,1254
712,357
1343,1002
1215,749
415,1210
1517,484
74,730
1927,1316
1669,1669
464,328
1892,1695
1305,190
731,773
157,8
8,889
1376,1287
1570,1566
340,925
230,180
250,1317
520,508
1624,354
1871,555
1559,756
1626,42
1779,1018
1181,472
984,1809
1253,593
1564,1625
191,1311
895,1806
81,1178
280,672
1766,180
148,1993
631,485
791,536
831,1330
1146,1652
1129,1240
142,1288
5,1730
1338,1186
130,71
751,1201
1427,444
1785,535
148,454
2,1028
1580,137
1304,741
1904,541
334,844
1658,564
1507,844
136,9
920,126
994,993
1633,1837
1267,674
819,279
286,378
1761,937
1267,594
1871,1713
1304,334
675,35
396,796
1424,1463
1061,558
1253,785
1297,1264
733,1554
1013,1717
1155,605
1169,989
677,560
1184,127
219,275
770,1442
201,1519
876,1887
303,127
787,792
1641,451
1414,1553
901,1623
908,1187
1901,1433
492,1370
551,1275
598,841
1680,1274
1789,1720
1650,1673
1087,1870
686,454
1457,586
1828,557
1828,656
1347,469
1322,735
1490,61
1702,216
36,1567
1676,590
24,1319
344,1797
1624,222
864,1285
115,1573
1862,769
1276,1402
602,1021
1066,1105
586,448
1355,1075
1233,129
656,1016
1808,629
1979,1430
211,1536
533,191
757,404
1555,105
1241,1079
756,1174
990,323
1767,1385
733,537
1033,2
472,1475
1943,1666
434,611
201,817
1551,889
355,622
1749,1721
1276,1680
1307,1803
156,1170
1164,169
1878,606
841,1253
901,1744
809,415
1200,187
1543,1274
1966,1199
1213,363
1811,241
366,758
734,1349
789,1100
263,1586
715,192
1622,1724
744,92
1548,1459
1359,1012
1593,1294
219,1123
304,822
858,757
1350,586
991,1975
1007,1514
477,823
114,1818
464,1112
373,1609
1129,1880
606,55
1389,693
893,262
935,1990
292,236
495,176
1424,650
679,1363
604,587
991,373
1801,1884
608,484
977,222
1146,611
1947,938
177,1775
1584,1377
982,1417
447,1817
1540,1796
414,1698
1048,1527
1569,1264
556,232
223,65
1976,555
4,51
1574,208
497,1357
1574,227
841,1994
929,631
1287,845
1051,962
642,1314
1675,576
685,1416
1936,689
267,854
1328,842
960,1736
881,601
1553,992
1861,1347
79,857
640,537
985,372
851,1059
749,641
905,1697
1010,587
1483,1802
1716,320
9,652
491,1679
859,1964
795,1382
1260,906
1081,1604
619,28
1387,1400
1582,174
313,295
1274,293
467,130
1713,643
793,324
1093,1390
355,1415
406,619
285,599
706,1727
14,1974
799,1279
251,541
1697,1826
1129,1667
603,1875
1379,149
1630,511
238,209
1927,1782
484,1820
326,462
1650,1994
313,1207
824,1851
1824,1558
40,1242
494,1790
587,1800
101,1766
1154,569
1121,104
1161,1504
739,760
1793,345
127,359
287,29
782,56
1861,1573
600,1360
1988,496
1907,1080
1484,1864
108,208
1863,313
1682,1243
929,437
1964,1622
562,1967
1993,1584
103,194
511,1062
834,460
1174,1797
1912,1486
37,1058
1565,1568
1370,999
556,332
1956,1498
1919,82
248,1809
700,1107
1146,1280
416,143
323,846
1911,55
1889,9
1361,387
1952,174
343,1544
561,1677
1550,759
26,1959
155,75
592,1560
1952,1490
1869,218
1283,760
117,959
1319,382
1957,1910
1951,265
1251,1597
1346,1862
1549,1956
653,1708
1866,1237
1355,1072
1466,696
414,1769
1310,191
158,246
416,470
40,230
1588,216
778,70
538,1941
1764,1242
576,403
1505,616
719,1794
1652,83
1894,443
36,100
703,1768
1839,601
1994,1311
1413,1804
1523,1659
554,1651
482,1406
1355,47
1780,396
1706,121
247,1008
1902,276
973,1046
1310,566
119,158
1349,1942
1615,785
1796,982
1685,272
383,1013
1911,1536
1983,455
868,1890
1351,1787
1585,1470
1615,1174
1893,895
511,340
1681,158
377,473
1974,324
1509,598
779,891
1598,1005
1882,984
1432,743
220,1209
429,1297
89,613
145,314
1260,465
1150,145
6,1307
1322,903
286,1309
1337,48
632,1324
457,397
1241,380
1735,431
1633,1825
1209,1454
1403,1812
1793,573
270,654
452,373
268,260
92,1817
666,309
1257,570
539,303
1598,917
1878,897
1240,754
1731,1264
118,1330
1751,361
943,1464
1036,819
1746,1199
1081,545
1973,971
445,1929
1932,451
1508,1401
676,1580
1974,1024
1587,1618
385,1518
1090,608
1576,679
774,1354
188,1533
1087,822
35,761
14,1990
1576,1928
11,1628
984,1218
132,799
1804,6
377,1144
1570,576
153,119
446,609
408,992
1474,1001
177,1153
719,447
1450,254
465,456
777,270
1239,196
1378,1886
467,1154
891,579
913,1878
830,358
1385,1911
804,1619
310,448
1971,423
962,1043
1662,1123
1988,1445
240,240
550,883
1635,1306
1047,1024
1879,1985
1490,1116
227,1499
853,1214
529,1823
605,532
456,1904
1200,397
1463,276
1742,78
419,1363
971,1250
1634,187
894,883
1448,1554
294,950
976,1162
1351,635
1255,1982
602,1761
643,1422
1956,1697
1836,384
1293,94
343,1812
856,162
1717,1139
1043,1068
1051,1635
874,592
1752,338
646,966
1348,468
400,795
793,1962
1255,1739
321,1424
1493,465
223,1665
1144,1891
545,1760
414,1290
1293,1271
822,1617
589,508
561,1928
1514,381
680,416
27,935
179,364
604,849
1484,1283
376,608
255,1754
488,477
912,1884
416,906
1649,509
770,107
62,1419
830,203
1387,1498
1956,1390
1892,53
1543,1701
1225,586
1701,719
81,1601
1152,975
1901,1794
1555,1769
188,43
1986,1913
1367,793
340,1244
1991,1615
1968,911
1216,796
1809,1021
1237,1164
429,509
1672,644
1329,1495
356,1887
1614,332
1674,105
1466,703
763,952
1875,1840
111,1140
689,33
1900,783
148,290
736,1888
1795,58
188,1094
305,173
933,838
347,723
1292,1190
477,527
1881,1304
644,1157
824,573
1927,891
500,554
78,731
1437,216
1266,3
1518,824
357,55
1989,852
1005,785
442,24
581,1568
1233,1382
779,838
765,443
102,867
1901,955
6,1919
1528,685
587,1778
97,1967
948,893
1719,581
1546,856
316,808
829,1659
1624,1255
990,1343
113,1982
1433,1432
139,1984
1320,679
763,832
1457,833
1734,695
732,1317
274,182
418,1697
1952,752
1478,1714
1828,628
632,337
1391,1945
1673,1138
265,1664
1535,1118
483,1073
752,1410
93,599
1641,640
99,602
1651,1029
886,512
393,1578
1009,1807
1975,450
949,1263
1636,1755
1686,1803
52,663
186,388
1466,922
872,1975
1055,1255
160,810
137,731
269,286
733,827
648,498
1900,136
1772,986
77,45
514,1929
354,1907
1918,1539
178,1072
1636,450
814,854
405,1919
1219,1822
360,1921
417,485
202,563
1678,932
1527,637
1176,1311
51,1598
1840,722
1989,468
533,476
122,1136
868,693
243,1730
1930,671
886,767
568,810
1210,1482
1823,1065
1722,566
729,1639
887,911
1457,438
909,1175
1336,1188
1364,897
1561,1500
1176,1676
1575,1178
642,304
842,175
1349,132
1463,1033
1642,244
1193,1615
1632,47
1541,1299
219,688
1550,903
328,1187
237,1820
292,1695
1029,1334
1680,1345
1498,1074
266,50
154,665
988,255
764,1226
1405,1194
631,139
181,208
1216,808
1229,227
165,1256
344,59
1779,923
287,570
539,1754
1749,1470
218,316
1056,1601
37,1856
540,595
1974,106
441,1483
492,303
1009,336
225,13
1715,1118
99,184
107,664
399,708
149,1124
839,1463
1409,950
1871,1443
1109,787
1716,56
1609,314
1409,97
1471,1112
1660,999
342,479
20,1967
549,1200
1994,1794
481,433
1013,1307
1042,168
1358,772
1765,1811
821,1735
1008,1950
873,1659
1161,1140
1772,1162
1271,1205
421,671
1120,746
96,1552
340,1292
1813,452
545,1622
77,642
1155,1622
174,40
1834,562
1408,1272
544,1237
1785,381
1795,999
181,757
1499,1120
549,833
1234,835
1632,1192
1726,355
839,1629
151,1703
135,1936
1936,1026
327,568
1987,1876
435,1819
376,899
1448,347
1595,1626
260,1966
1496,817
212,988
1625,365
1161,127
198,349
239,1048
648,588
1273,1404
1393,1773
1985,1284
580,1966
1617,238
942,1709
374,1511
787,931
332,234
1200,672
606,1956
1709,1668
1488,1964
1786,968
1706,1001
804,1866
188,106
156,943
453,1502
1611,1473
290,1707
483,321
261,727
1711,160
1043,963
1580,840
1955,1689
198,1466
691,1398
1799,712
863,1625
859,735
857,1825
541,174
1893,680
1014,420
1599,1414
1547,219
322,1725
1882,457
1238,1748
1012,829
49,343
811,1640
1740,879
335,181
1830,654
991,1783
746,1080
1519,1026
1077,1314
1619,1886
1007,1078
760,372
6,1523
957,866
757,1894
1833,1560
24,1636
138,270
1517,1442
62,234
995,10
29,1909
558,486
1790,1562
1598,1841
31,238
1477,622
884,1496
711,729
483,1354
136,1832
751,1501
630,117
495,214
1305,1818
1743,605
1130,902
389,1020
708,506
1685,1914
1090,16
1052,1218
724,917
1082,310
1318,842
517,1315
728,1090
1828,647
1971,1221
1176,433
158,1991
1549,372
291,1562
1936,605
422,534
594,1380
341,1304
831,1678
1697,336
1125,184
488,1568
1496,315
242,1369
365,837
1754,165
175,833
154,1075
1436,691
451,617
334,491
27,1086
1287,1839
1656,1541
1123,1334
1115,1002
1874,1788
451,883
886,276
1947,629
1641,1030
1609,1169
422,635
1395,1430
1606,73
219,1228
1000,430
1620,1060
929,1570
1871,501
131,1883
642,1016
298,517
1454,541
1360,459
616,1406
1418,95
50,915
1384,844
870,616
1732,30
1471,1240
755,364
1123,443
1370,609
473,1422
1932,593
1190,491
1932,1600
476,1659
129,1625
1740,1203
21,247
405,900
556,1283
1104,688
1252,1001
45,1804
111,1071
17,279
1859,1787
1906,1661
1902,430
373,1934
1882,1890
642,86
1248,1744
1950,1572
458,875
428,1545
913,1400
1059,488
1143,706
667,333
789,498
177,73
1616,284
1618,1511
1813,1380
1652,902
1557,1723
271,1891
853,1192
664,292
292,1186
491,1451
1528,1631
176,1254
1727,352
151,1563
191,461
1941,576
1179,1766
1768,583
826,880
1586,1368
1743,1612
984,111
939,1534
1912,1266
598,1617
180,200
48,1437
1873,782
915,382
1458,1941
1554,824
1137,605
1415,605
1523,1111
984,917
1196,234
341,1620
1753,351
625,1206
76,747
1620,1127
136,1068
1052,1837
1375,1653
924,952
449,1210
332,860
414,718
845,1775
778,328
833,1928
562,1264
72,1183
1998,379
1068,167
1705,391
1121,493
1767,610
1190,459
1056,220
262,1878
722,665
766,1747
1437,364
1731,1550
1800,599
1146,414
1648,1481
1880,179
1118,536
716,1880
1107,1683
22,184
1906,158
907,1924
957,1737
830,947
305,1021
860,1140
750,1331
750,1806
919,935
1605,1368
520,158
837,1705
1260,923
1860,80
1746,1793
514,1105
706,1290
1946,233
464,594
813,1197
1642,24
297,918
68,1002
1138,832
1285,293
282,961
255,1140
1057,1244
1607,75
1066,1435
1281,1801
1240,1248
483,1216
1503,99
1138,1223
458,1753
1679,1537
1696,1136
718,592
1073,939
426,1299
667,1999
1533,750
1630,722
600,1624
864,1072
944,1304
559,1549
638,1614
325,1356
115,1931
479,1382
1078,96
147,930
371,373
447,1273
233,168
142,1994
1838,1349
922,1876
823,563
1267,1563
215,866
207,1316
524,139
1257,1205
1442,413
250,219
608,1116
1611,1078
988,1688
994,1705
703,416
482,74
1981,1379
986,1986
1581,304
1455,1992
932,654
322,589
322,364
191,1039
1315,1912
1524,1387
167,680
1309,1286
957,1681
1737,1698
167,1028
1369,182
1219,111
178,309
1557,354
1707,155
1435,1278
326,508
1493,310
192,1074
141,1916
393,955
960,1875
69,1495
1589,1996
1472,961
1245,1612
801,1563
340,413
1955,1368
1397,369
1359,1135
764,1857
1731,433
1384,807
937,158
485,1916
463,277
1017,1988
1045,1729
646,691
1033,87
1668,679
841,1572
1736,504
989,1372
1980,668
475,146
1926,903
1778,1692
1096,446
178,1074
383,1628
484,1755
9,1284
1411,910
1357,1723
933,307
1702,1277
1930,867
843,1573
562,1227
1028,120
296,1126
1573,441
1220,399
237,470
229,1990
1299,593
996,1321
1033,1673
123,1092
1955,783
1952,1091
771,1955
282,1695
1465,859
1013,1652
1139,795
1401,1334
1695,1240
1519,1225
1664,1311
1041,426
591,1431
1532,1252
558,477
394,903
479,1996
308,298
215,1379
1340,1835
1432,589
1600,67
1274,1057
627,229
1206,37
243,224
475,869
1852,1306
907,213
1210,269
1988,1890
9,95
65,373
1154,430
951,103
1291,380
1769,70
181,1069
631,1665
1407,1230
838,974
1754,712
1263,1655
453,403
928,1045
1907,957
325,487
313,1857
785,10
1295,1310
1087,632
1796,516
115,1667
1709,771
154,187
673,1187
527,788
1707,363
1796,1211
1586,1730
458,14
1780,989
391,1847
1219,1266
126,521
551,1789
823,1878
540,1761
1198,1936
888,370
158,1069
1617,1295
1539,575
1653,513
1564,1870
1594,341
648,106
637,1567
1762,291
1293,735
718,1499
1283,501
1874,538
1427,290
1189,1469
1350,145
716,567
939,1308
820,791
896,1900
266,157
625,533
855,1999
682,1021
1278,843
48,1907
1595,643
1711,1499
803,1756
1118,812
1518,1265
1145,1379
43,233
1273,1236
625,402
1307,369
1269,598
1633,1103
1712,23
1902,70
395,1169
1669,258
1702,282
1348,644
1488,1515
958,1132
1706,225
437,1445
1981,494
1179,722
549,1497
982,307
1090,759
805,513
505,1587
1084,1445
1665,1518
1405,1277
1385,1142
1678,1307
1075,799
1108,410
59,157
1509,1854
212,1749
1450,1887
1937,220
580,1387
1358,1213
1516,1490
1646,1762
1447,412
223,1229
1796,1613
721,1933
408,43
951,559
287,269
304,1955
294,320
474,235
414,1723
1746,348
1833,399
433,618
162,91
1305,415
1208,1486
1943,1799
361,730
642,774
207,376
1828,1550
560,1275
1770,1955
1056,1611
1844,1104
1257,997
1464,1320
1110,282
1439,446
208,1572
362,996
603,400
812,975
1279,200
506,1846
1832,999
815,226
1870,509
1485,208
899,722
1181,235
1890,1564
1130,1961
1425,271
406,1772
1960,1629
1493,537
597,51
1458,1393
673,1688
1323,1186
1709,1148
847,762
1543,1765
1365,341
1684,963
1593,713
853,1434
1009,317
380,476
1935,431
1315,745
1723,1279
231,1332
264,74
1550,406
1649,123
798,1981
40,1425
1806,1625
1084,1491
1488,1823
1365,401
765,1519
1638,500
1282,272
1615,1085
499,1650
1103,145
1719,1217
911,984
1020,229
465,1874
1929,767
195,756
1053,1271
653,300
1349,1604
1716,845
1679,1721
1083,633
1970,177
115,269
204,1625
107,1288
973,36
398,591
989,835
716,1288
1509,1407
576,1664
1895,340
804,176
1519,1852
1664,114
1538,808
1290,260
1293,719
1294,895
792,1306
1295,358
1808,1905
1533,436
1915,409
875,71
395,1060
1920,391
511,796
60,619
1434,1220
1048,1614
1406,807
1573,831
184,1075
1696,1045
139,1241
1345,496
935,1757
774,1576
1036,1548
364,252
777,1843
1976,258
1951,727
453,1454
736,576
1672,1649
86,1528
223,1769
1678,749
222,322
1885,61
90,63
1076,1676
1115,1046
522,1485
1824,248
1024,1408
959,1310
1204,1193
156,1599
279,1979
543,894
345,1558
1459,1543
726,1259
440,1232
1979,1994
1728,802
1790,455
111,502
358,191
1273,973
1205,238
1369,372
141,385
1567,1977
11,374
1656,1162
252,311
1950,1368
833,291
785,517
192,1676
1770,675
1328,1211
627,1187
1907,1573
1864,1274
1011,104
1542,122
1804,340
1413,625
1039,1246
1535,1617
261,48
1344,231
559,1379
1041,1876
918,1479
1726,1841
1661,1228
799,1670
1847,1666
813,1766
11,1086
667,306
119,1999
141,1579
1584,271
362,865
307,728
542,1418
400,369
1480,703
1409,1999
88,1662
581,1988
1414,715
1083,1367
569,444
1216,1909
719,821
809,1221
1033,1806
1904,1699
1452,1680
756,1786
767,601
572,1964
1346,1907
1591,1744
1230,1379
198,540
1757,20
668,106
347,1325
1790,814
247,320
467,509
1289,1198
550,950
1446,1509
885,1602
545,1295
1749,1406
1591,1771
1457,277
789,964
141,1143
321,1558
251,1145
204,927
1955,888
163,1363
516,571
157,1375
747,864
36,1451
984,1804
530,1123
1369,4
1958,795
774,1504
685,243
1738,290
1103,627
1386,334
518,176
590,1982
1579,1434
1341,1366
737,313
95,1330
695,452
1019,631
657,29
1352,59
1079,1880
1124,163
1779,1516
419,211
1720,1404
30,793
1459,1364
1413,501
1348,717
1453,1896
531,1171
1980,1363
587,848
